Predicted Factor,Frequency,Influence Level
own_aircraft_pilot_decision_making_process,11,0.049107142857142856
avp,10,0.044642857142857144
intruder_aircraft_position,10,0.044642857142857144
stabilised_own_aircraft_dynamics,10,0.044642857142857144
own_aircraft_pilot_situation_awareness,8,0.03571428571428571
surrounding_airspace_safety,7,0.03125
avoidance_strategy_recommendation,7,0.03125
visual_information,7,0.03125
own_aircraft_flight_path,7,0.03125
intruder_aircraft_speed,6,0.026785714285714284
collision_avoidance_system,6,0.026785714285714284
collision_threat,5,0.022321428571428572
intruder_aircraft_proximity,5,0.022321428571428572
atc,5,0.022321428571428572
own_aircraft_flight_management_system,5,0.022321428571428572
other_aircrafts,4,0.017857142857142856
intruder_aircraft_detection_tracking,3,0.013392857142857142
intruder_aircraft_motion_pattern,3,0.013392857142857142
own_aircraft_camera,3,0.013392857142857142
own_aircraft_roll_change,2,0.008928571428571428
own_aircraft_pitch_change,2,0.008928571428571428
own_aircraft_yaw_change,2,0.008928571428571428
own_aircraft_speed,2,0.008928571428571428
own_aircraft_flight_maneuvers,2,0.008928571428571428
rerouting_instructions,2,0.008928571428571428
pilot_stress,2,0.008928571428571428
intruder_aircraft_visibility,2,0.008928571428571428
unpredictable_intruder_aircraft_behaviour,2,0.008928571428571428
intruder_aircraft_dynamics,2,0.008928571428571428
weather_data,2,0.008928571428571428
pilot_alerting_and_warning_systems,2,0.008928571428571428
collision_threat_alert,2,0.008928571428571428
weather_conditions,2,0.008928571428571428
surrounding_airspace_obstructions,2,0.008928571428571428
own_aircraft_flight_path_change,2,0.008928571428571428
non_deterministic_intelligent_algorithms,1,0.004464285714285714
intruder_aircraft_direction,1,0.004464285714285714
intruder_aircraft_altitude,1,0.004464285714285714
threat_predictive_model,1,0.004464285714285714
risk_of_potential_collision,1,0.004464285714285714
cockpit_display_systems,1,0.004464285714285714
aircrafts_existing_warning_systems,1,0.004464285714285714
own_aircraft_altitude,1,0.004464285714285714
own_aircraft_radar,1,0.004464285714285714
own_aircraft_lidar,1,0.004464285714285714
environmental_obstructions,1,0.004464285714285714
fog,1,0.004464285714285714
raindrops,1,0.004464285714285714
cloud_cover,1,0.004464285714285714
cloud_type,1,0.004464285714285714
cloud_turbulance,1,0.004464285714285714
landscape_background,1,0.004464285714285714
daytime,1,0.004464285714285714
sunlight,1,0.004464285714285714
sun_position,1,0.004464285714285714
own_camera,1,0.004464285714285714
intruder_aircraft_flight_path,1,0.004464285714285714
collision_time,1,0.004464285714285714
own_aircraft_response_time,1,0.004464285714285714
own_aircraft_pilot_feedback,1,0.004464285714285714
avp_real_time_training,1,0.004464285714285714
intruder_aircraft,1,0.004464285714285714
emergency_directives,1,0.004464285714285714
unsafe_proximity,1,0.004464285714285714
airspace_conflicts,1,0.004464285714285714
radar_and_visual_range,1,0.004464285714285714
airspace_visibility,1,0.004464285714285714
wind,1,0.004464285714285714
cloud_turbulence,1,0.004464285714285714
avp_confidence_threshold,1,0.004464285714285714
intruder_aircraft_hack_avp_threashold,1,0.004464285714285714
Stabilised_own_aircraft_dynamics,1,0.004464285714285714
own_aircraft_proximity,1,0.004464285714285714
autonomous_collision_avoidance_maneuvers,1,0.004464285714285714
potential_collision_threat_alert,1,0.004464285714285714
collision_avoidance,1,0.004464285714285714
automated_own_aircraft_flight_path_change,1,0.004464285714285714
own_aircraft_altitude_change,1,0.004464285714285714
disturbed_own_aircraft_dynamics,1,0.004464285714285714
own_aircraft_speed_change,1,0.004464285714285714
accelerated_own_aircraft_dynamics,1,0.004464285714285714
accelerated_own_aircraft_roll,1,0.004464285714285714
accelerated_own_aircraft_pitch,1,0.004464285714285714
accelerated_own_aircraft_yaw,1,0.004464285714285714
own_aircraft_flight_management_system_override,1,0.004464285714285714
manual_own_aircraft_flight_path_change,1,0.004464285714285714
weather_conditions_change,1,0.004464285714285714
weather_data_change,1,0.004464285714285714
own_aircraft_dynamics_change,1,0.004464285714285714
unpredictable_other_aircrafts_decision,1,0.004464285714285714
automated_collision_avoidance_maneuvers,1,0.004464285714285714
avp_detection_communication_delay_hack,1,0.004464285714285714
pilot_cognitive_limit,1,0.004464285714285714
surrounding_airspace_restrictions,1,0.004464285714285714
military_aircraft_intrusion,1,0.004464285714285714
other_aircrafts_presence,1,0.004464285714285714
bird,1,0.004464285714285714
drone_presence,1,0.004464285714285714
wind_shear_effect_on_camera,1,0.004464285714285714
air_density_change_due_to_high_speed_effect_on_camera,1,0.004464285714285714
aircraft_attitude_control,1,0.004464285714285714
mechanical_wear_and_tear,1,0.004464285714285714
autopilot_system_failure,1,0.004464285714285714
information_overload_for_pilot,1,0.004464285714285714
highly_stressfull_event,1,0.004464285714285714
